Nombre del Indicador,ID del Indicador,Banco,Sector
,1002000041,BISE,Demografía y Sociedad
,1002000041,BISE,Demografía y Sociedad
Porcentaje de personas de 15 años y más alfabetas,1002000041,BISE,Demografía y Sociedad
Tasa de alfabetización de las personas de 15 a 24 años,1002000050,BISE,Demografía y Sociedad
Población de 5 años y más que asiste a la escuela,1005000012,BISE,Demografía y Sociedad
Grado promedio de escolaridad de la población de 15 y más años,1005000038,BISE,Demografía y Sociedad
Porcentaje de analfabetas total,3108001001,BISE,Demografía y Sociedad
Porcentaje de analfabetas hombres,3108001002,BISE,Demografía y Sociedad
Porcentaje de analfabetas mujeres,3108001003,BISE,Demografía y Sociedad
Población en edad escolar de 3 a 24 años,6200200237,BISE,Demografía y Sociedad
Población de 8 a 14 años que sabe leer y escribir,6200205238,BISE,Demografía y Sociedad
Población de 15 años y más con algún grado aprobado en educación básica,6200205239,BISE,Demografía y Sociedad
Población de 19 años y más con algún grado aprobado en estudios técnicos o comerciales con secundaria terminada,6200205240,BISE,Demografía y Sociedad
Población de 19 años y más con algún grado aprobado en bachillerato,6200205241,BISE,Demografía y Sociedad
Población de 24 años y más con algún grado aprobado en estudios superiores,6200205242,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más con instrucción media superior,6200240314,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más con secundaria incompleta,6200240333,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más con primaria completa,6200240362,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más con instrucción superior,6200240365,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más con instrucción no especificada,6200240368,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más con secundaria completa,6200240380,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más con rezago educativo,6200240391,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más sin instrucción,6200240447,BISE,Demografía y Sociedad
Porcentaje de la población de 15 años y más con primaria incompleta,6200240510,BISE,Demografía y Sociedad
Porcentaje de población de 25 años y más alfabeta,6207019010,BISE,Demografía y Sociedad
Porcentaje de población de 15 años y más sin escolaridad,6207019020,BISE,Demografía y Sociedad
Porcentaje de la población de 3 a 5 años que asiste a la escuela,6207019024,BISE,Demografía y Sociedad
Porcentaje de la población de 6 a 11 años que asiste a la escuela,6207019026,BISE,Demografía y Sociedad
Porcentaje de la población de 12 a 14 años que asiste a la escuela,6207019028,BISE,Demografía y Sociedad
Porcentaje de la población de 15 a 24 años que asiste a la escuela,6207019029,BISE,Demografía y Sociedad
Porcentaje de población de 15 años y más con escolaridad básica,6207019031,BISE,Demografía y Sociedad
